timestamp,market,slug,outcome,outcome_index,amount,price,won,pnl,winning_outcome,winning_index,condition_id,token_id
2026-02-24T03:26:58.487257+00:00,"Bitcoin Up or Down - February 23, 10:15PM-10:30PM ",btc-updown-15m-1771902900,Up,0,2.0,0.5484584783689707,NO,-2.0,,,0x8aae11a539d74b1b3323b610e7985cfe96eb26f90ea7fde2ef80b2fca0af3020,39816836569197543372303901294959538054860885032444150443880899703894724515929
2026-02-24T03:27:25.216509+00:00,"XRP Up or Down - February 23, 10:25PM-10:30PM ET",xrp-updown-5m-1771903500,Up,0,2.0,0.1875067351557168,NO,-2.0,,,0xd89025d9621060c53d0696d7e910103907ad784290d3a05c2a4c2ebfb1520609,110939852012498039699473376105768433567259355275222264762610556732375819093738
2026-02-24T03:27:25.221638+00:00,"Bitcoin Up or Down - February 23, 10:15PM-10:30PM ",btc-updown-15m-1771902900,Up,0,2.0,0.5987578312111822,NO,-2.0,,,0x8aae11a539d74b1b3323b610e7985cfe96eb26f90ea7fde2ef80b2fca0af3020,39816836569197543372303901294959538054860885032444150443880899703894724515929
2026-02-24T03:27:25.224000+00:00,"Ethereum Up or Down - February 23, 10:15PM-10:30PM",eth-updown-15m-1771902900,Down,1,2.0,0.33,NO,-2.0,,,0x1988833c3a30cd4d2fe03b915a569ce26cef77428382871d4f2c63f933ba6ded,32263239738022089338224961993053632851638507305945992535041401896188895488700
2026-02-24T03:27:25.228987+00:00,"Bitcoin Up or Down - February 23, 10:15PM-10:30PM ",btc-updown-15m-1771902900,Up,0,2.0,0.6087662337662337,NO,-2.0,,,0x8aae11a539d74b1b3323b610e7985cfe96eb26f90ea7fde2ef80b2fca0af3020,39816836569197543372303901294959538054860885032444150443880899703894724515929
2026-02-24T03:27:25.233554+00:00,"Ethereum Up or Down - February 23, 10:25PM-10:30PM",eth-updown-5m-1771903500,Up,0,2.0,0.3750950409732196,NO,-2.0,,,0x64787d51835565aaddf9314feb839e6719b01d08f3d4a62c502d154f9251b4e7,22810143987974608794873445518386782894270600934678150150832559164574592406159
2026-02-24T03:27:25.248338+00:00,"Ethereum Up or Down - February 23, 10:15PM-10:30PM",eth-updown-15m-1771902900,Down,1,2.0,0.38999999999999996,NO,-2.0,,,0x1988833c3a30cd4d2fe03b915a569ce26cef77428382871d4f2c63f933ba6ded,32263239738022089338224961993053632851638507305945992535041401896188895488700
2026-02-24T03:27:25.252082+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.6881154422108272,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
2026-02-24T03:27:25.258347+00:00,"Solana Up or Down - February 23, 10:15PM-10:30PM E",sol-updown-15m-1771902900,Down,1,2.0,0.61,NO,-2.0,,,0x1d044a7b17eb5003846bf8f2fbb578bd0c9ada78de694bf48eba8f74c35ad94b,93607987383723658372995639375109596203312491439941620404852405345297199842070
2026-02-24T03:27:25.260819+00:00,"Solana Up or Down - February 23, 10:15PM-10:30PM E",sol-updown-15m-1771902900,Down,1,2.0,0.610000032684661,NO,-2.0,,,0x1d044a7b17eb5003846bf8f2fbb578bd0c9ada78de694bf48eba8f74c35ad94b,93607987383723658372995639375109596203312491439941620404852405345297199842070
2026-02-24T03:27:25.265805+00:00,"Ethereum Up or Down - February 23, 10:25PM-10:30PM",eth-updown-5m-1771903500,Down,1,2.0,0.6386745692386231,NO,-2.0,,,0x64787d51835565aaddf9314feb839e6719b01d08f3d4a62c502d154f9251b4e7,80734785071094615507007477713222506299045843677137285647256558933811265947593
2026-02-24T03:27:35.376505+00:00,"Bitcoin Up or Down - February 23, 10:15PM-10:30PM ",btc-updown-15m-1771902900,Up,0,2.0,0.6900001787387968,NO,-2.0,,,0x8aae11a539d74b1b3323b610e7985cfe96eb26f90ea7fde2ef80b2fca0af3020,39816836569197543372303901294959538054860885032444150443880899703894724515929
2026-02-24T03:27:35.385256+00:00,"Solana Up or Down - February 23, 10:15PM-10:30PM E",sol-updown-15m-1771902900,Up,0,2.0,0.6616168812540492,NO,-2.0,,,0x1d044a7b17eb5003846bf8f2fbb578bd0c9ada78de694bf48eba8f74c35ad94b,57358013012144238861339770984574763546367764585996972562127054366015121131622
2026-02-24T03:27:35.387895+00:00,"Solana Up or Down - February 23, 10:25PM-10:30PM E",sol-updown-5m-1771903500,Up,0,2.0,0.4569983523833034,NO,-2.0,,,0x0e069693a5eca542e06a35424f9ed40008df8f897b38bbeb2acc8a729c315d95,108840444130066101874446059921156466816425906488698440332065954489320957873717
2026-02-24T03:27:35.390418+00:00,"Ethereum Up or Down - February 23, 10:25PM-10:30PM",eth-updown-5m-1771903500,Up,0,2.0,0.5079365079365079,NO,-2.0,,,0x64787d51835565aaddf9314feb839e6719b01d08f3d4a62c502d154f9251b4e7,22810143987974608794873445518386782894270600934678150150832559164574592406159
2026-02-24T03:27:35.392943+00:00,"Solana Up or Down - February 23, 10:15PM-10:30PM E",sol-updown-15m-1771902900,Up,0,2.0,0.6013530443497871,NO,-2.0,,,0x1d044a7b17eb5003846bf8f2fbb578bd0c9ada78de694bf48eba8f74c35ad94b,57358013012144238861339770984574763546367764585996972562127054366015121131622
2026-02-24T03:27:35.395282+00:00,"Ethereum Up or Down - February 23, 10:25PM-10:30PM",eth-updown-5m-1771903500,Up,0,2.0,0.46720666277327777,NO,-2.0,,,0x64787d51835565aaddf9314feb839e6719b01d08f3d4a62c502d154f9251b4e7,22810143987974608794873445518386782894270600934678150150832559164574592406159
2026-02-24T03:27:45.537757+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.46720599276212016,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
2026-02-24T03:27:45.541589+00:00,"Solana Up or Down - February 23, 10:25PM-10:30PM E",sol-updown-5m-1771903500,Down,1,2.0,0.5686276319797657,NO,-2.0,,,0x0e069693a5eca542e06a35424f9ed40008df8f897b38bbeb2acc8a729c315d95,84018009161562555011202272377514330904032537921305689372214909854485220787667
2026-02-24T03:27:45.544972+00:00,"Bitcoin Up or Down - February 23, 10:15PM-10:30PM ",btc-updown-15m-1771902900,Up,0,2.0,0.7600000718942832,NO,-2.0,,,0x8aae11a539d74b1b3323b610e7985cfe96eb26f90ea7fde2ef80b2fca0af3020,39816836569197543372303901294959538054860885032444150443880899703894724515929
2026-02-24T03:27:45.548956+00:00,"Solana Up or Down - February 23, 10:25PM-10:30PM E",sol-updown-5m-1771903500,Down,1,2.0,0.5383504130739019,NO,-2.0,,,0x0e069693a5eca542e06a35424f9ed40008df8f897b38bbeb2acc8a729c315d95,84018009161562555011202272377514330904032537921305689372214909854485220787667
2026-02-24T03:27:45.551417+00:00,"Solana Up or Down - February 23, 10:15PM-10:30PM E",sol-updown-15m-1771902900,Up,0,2.0,0.6600000081327162,NO,-2.0,,,0x1d044a7b17eb5003846bf8f2fbb578bd0c9ada78de694bf48eba8f74c35ad94b,57358013012144238861339770984574763546367764585996972562127054366015121131622
2026-02-24T03:27:45.554431+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Up,0,2.0,0.64,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,91553833045407515887318642797071525193243965402541455349425837039567806474542
2026-02-24T03:27:45.557279+00:00,"Bitcoin Up or Down - February 23, 10:15PM-10:30PM ",btc-updown-15m-1771902900,Up,0,2.0,0.8300000356681752,NO,-2.0,,,0x8aae11a539d74b1b3323b610e7985cfe96eb26f90ea7fde2ef80b2fca0af3020,39816836569197543372303901294959538054860885032444150443880899703894724515929
2026-02-24T03:28:05.809883+00:00,"Solana Up or Down - February 23, 10:25PM-10:30PM E",sol-updown-5m-1771903500,Down,1,2.0,0.5948916312626397,NO,-2.0,,,0x0e069693a5eca542e06a35424f9ed40008df8f897b38bbeb2acc8a729c315d95,84018009161562555011202272377514330904032537921305689372214909854485220787667
2026-02-24T03:28:05.813421+00:00,"Ethereum Up or Down - February 23, 10:25PM-10:30PM",eth-updown-5m-1771903500,Down,1,2.0,0.55,NO,-2.0,,,0x64787d51835565aaddf9314feb839e6719b01d08f3d4a62c502d154f9251b4e7,80734785071094615507007477713222506299045843677137285647256558933811265947593
2026-02-24T03:28:05.816663+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Up,0,2.0,0.5800000028378075,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,91553833045407515887318642797071525193243965402541455349425837039567806474542
2026-02-24T03:28:05.819910+00:00,"Bitcoin Up or Down - February 23, 10:15PM-10:30PM ",btc-updown-15m-1771902900,Up,0,2.0,0.8,NO,-2.0,,,0x8aae11a539d74b1b3323b610e7985cfe96eb26f90ea7fde2ef80b2fca0af3020,39816836569197543372303901294959538054860885032444150443880899703894724515929
2026-02-24T03:28:05.823645+00:00,"Solana Up or Down - February 23, 10:25PM-10:30PM E",sol-updown-5m-1771903500,Down,1,2.0,0.48999999999999994,NO,-2.0,,,0x0e069693a5eca542e06a35424f9ed40008df8f897b38bbeb2acc8a729c315d95,84018009161562555011202272377514330904032537921305689372214909854485220787667
2026-02-24T03:28:05.826604+00:00,"Bitcoin Up or Down - February 23, 10:15PM-10:30PM ",btc-updown-15m-1771902900,Up,0,2.0,0.7999999999999999,NO,-2.0,,,0x8aae11a539d74b1b3323b610e7985cfe96eb26f90ea7fde2ef80b2fca0af3020,39816836569197543372303901294959538054860885032444150443880899703894724515929
2026-02-24T03:28:05.829698+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Up,0,2.0,0.6,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,91553833045407515887318642797071525193243965402541455349425837039567806474542
2026-02-24T03:28:05.832571+00:00,"Bitcoin Up or Down - February 23, 10:15PM-10:30PM ",btc-updown-15m-1771902900,Up,0,2.0,0.8148237566393047,NO,-2.0,,,0x8aae11a539d74b1b3323b610e7985cfe96eb26f90ea7fde2ef80b2fca0af3020,39816836569197543372303901294959538054860885032444150443880899703894724515929
2026-02-24T03:28:05.835162+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Up,0,2.0,0.61,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,91553833045407515887318642797071525193243965402541455349425837039567806474542
2026-02-24T03:28:05.837984+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.4160868270568861,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
2026-02-24T03:28:05.840734+00:00,"Bitcoin Up or Down - February 23, 10:15PM-10:30PM ",btc-updown-15m-1771902900,Up,0,2.0,0.79,NO,-2.0,,,0x8aae11a539d74b1b3323b610e7985cfe96eb26f90ea7fde2ef80b2fca0af3020,39816836569197543372303901294959538054860885032444150443880899703894724515929
2026-02-24T03:28:31.669556+00:00,"Bitcoin Up or Down - February 23, 10:15PM-10:30PM ",btc-updown-15m-1771902900,Down,1,2.0,0.33000000870130425,NO,-2.0,,,0x8aae11a539d74b1b3323b610e7985cfe96eb26f90ea7fde2ef80b2fca0af3020,50224940729907476108657849763171549734476850618619971539975001310757809949720
2026-02-24T03:28:31.673336+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.5900000629855159,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
2026-02-24T03:28:31.676986+00:00,"Bitcoin Up or Down - February 23, 10:15PM-10:30PM ",btc-updown-15m-1771902900,Down,1,2.0,0.27,NO,-2.0,,,0x8aae11a539d74b1b3323b610e7985cfe96eb26f90ea7fde2ef80b2fca0af3020,50224940729907476108657849763171549734476850618619971539975001310757809949720
2026-02-24T03:28:31.680368+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.59,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
2026-02-24T03:28:31.683737+00:00,"Ethereum Up or Down - February 23, 10:15PM-10:30PM",eth-updown-15m-1771902900,Down,1,2.0,0.52,NO,-2.0,,,0x1988833c3a30cd4d2fe03b915a569ce26cef77428382871d4f2c63f933ba6ded,32263239738022089338224961993053632851638507305945992535041401896188895488700
2026-02-24T03:28:31.687330+00:00,"Bitcoin Up or Down - February 23, 10:15PM-10:30PM ",btc-updown-15m-1771902900,Up,0,2.0,0.7078002476269089,NO,-2.0,,,0x8aae11a539d74b1b3323b610e7985cfe96eb26f90ea7fde2ef80b2fca0af3020,39816836569197543372303901294959538054860885032444150443880899703894724515929
2026-02-24T03:28:31.691100+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Up,0,2.0,0.43655633074775435,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,91553833045407515887318642797071525193243965402541455349425837039567806474542
2026-02-24T03:28:31.694807+00:00,"Ethereum Up or Down - February 23, 10:15PM-10:30PM",eth-updown-15m-1771902900,Up,0,2.0,0.41000000000000003,NO,-2.0,,,0x1988833c3a30cd4d2fe03b915a569ce26cef77428382871d4f2c63f933ba6ded,10729856334159857428797456660348020291129810330847426238254590366504460656111
2026-02-24T03:28:31.697923+00:00,"Bitcoin Up or Down - February 23, 10:15PM-10:30PM ",btc-updown-15m-1771902900,Down,1,2.0,0.31358684767984024,NO,-2.0,,,0x8aae11a539d74b1b3323b610e7985cfe96eb26f90ea7fde2ef80b2fca0af3020,50224940729907476108657849763171549734476850618619971539975001310757809949720
2026-02-24T03:28:31.700991+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.5786890155687651,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
2026-02-24T03:28:41.838073+00:00,"Bitcoin Up or Down - February 23, 10:15PM-10:30PM ",btc-updown-15m-1771902900,Down,1,2.0,0.1700000033200013,NO,-2.0,,,0x8aae11a539d74b1b3323b610e7985cfe96eb26f90ea7fde2ef80b2fca0af3020,50224940729907476108657849763171549734476850618619971539975001310757809949720
2026-02-24T03:29:02.207634+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.33,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
2026-02-24T03:29:36.022457+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.6585079223568505,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
2026-02-24T03:29:36.035390+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.7800001452000493,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
2026-02-24T03:29:46.173565+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Up,0,2.0,0.3,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,91553833045407515887318642797071525193243965402541455349425837039567806474542
2026-02-24T03:29:46.193227+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.7800000257309961,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
2026-02-24T03:30:06.475804+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.48999999999999994,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
2026-02-24T03:30:06.480183+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.5600000091666674,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
