ts,close,next_close,close_position,body_signed,volume_z,range_z,streak,p_up,side,regime,confidence,stake,actual,result,pnl,equity
1774441800,71346.34,71705.97,0.587176,0.057055,0.167,0.3163,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,292.0
1774442700,71705.97,71696.6,0.654821,0.541538,0.4137,3.3126,2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,292.0
1774443600,71696.6,71607.09,0.32405,-0.041288,-0.1919,-0.3224,-1,0.5,SKIP,neutral,0.5,0.0,DOWN,,0.0,292.0
1774444500,71607.09,71719.3,0.32729,-0.649141,-0.5222,-0.9111,-2,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,293.0
1774445400,71719.3,71564.41,0.349437,0.309938,2.1577,0.6716,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,293.0
1774446300,71564.41,71383.99,0.189409,-0.487336,0.4546,0.3673,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,292.0
1774447200,71383.99,71352.75,0.274962,-0.431493,0.4897,1.0098,-2,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,291.0
1774448100,71352.75,71351.19,0.387744,-0.110471,-0.1372,0.0298,-3,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,290.0
1774449000,71351.19,71218.49,0.262712,-0.00574,-0.0472,-0.0586,-4,0.5,SKIP,neutral,0.5,0.0,DOWN,,0.0,290.0
1774449900,71218.49,70807.63,0.04662,-0.588627,-0.7519,-0.4329,-5,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,289.0
1774450800,70807.63,70993.14,0.16868,-0.703094,0.5107,2.0391,-6,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,290.0
1774451700,70993.14,70853.09,0.977243,0.405141,0.0682,0.9662,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,290.0
1774452600,70853.09,70806.44,0.231147,-0.480512,-0.5915,-0.1948,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,289.0
1774453500,70806.44,70845.95,0.307832,-0.256389,-0.6916,-0.9891,-2,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,290.0
1774454400,70845.95,71493.33,0.531196,0.139036,-0.8372,-0.2941,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,290.0
1774455300,71493.33,71456.01,0.738921,0.697841,0.3029,4.074,2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,290.0
1774456200,71456.01,71301.79,0.34987,-0.144646,0.1078,-0.5449,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,289.0
1774457100,71301.79,71136.45,0.316781,-0.658497,-1.0381,-0.6714,-2,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,288.0
1774458000,71136.45,71042.2,0.164293,-0.560665,-1.2782,-0.3384,-3,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,287.0
1774458900,71042.2,70887.69,0.419124,-0.375498,-0.0882,-0.6083,-4,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,286.0
1774459800,70887.69,70745.15,0.318953,-0.667228,-0.3461,-0.6386,-5,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,285.0
1774460700,70745.15,70895.55,0.206678,-0.505228,0.0373,-0.3433,-6,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,286.0
1774461600,70895.55,70948.0,0.840137,0.698528,-0.7843,-0.6561,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,286.0
1774462500,70948.0,70820.16,0.23763,0.222566,-0.6735,-0.531,2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,286.0
1774463400,70820.16,70785.0,0.238731,-0.563296,-1.4576,-0.6267,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,285.0
1774464300,70785.0,70825.89,0.452755,-0.113504,-0.5892,-0.0835,-2,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,286.0
1774465200,70825.89,70934.53,0.337517,0.167164,0.3407,-0.4725,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,286.0
1774466100,70934.53,70924.99,0.788795,0.614167,-0.0947,-0.8305,2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,286.0
1774467000,70924.99,70859.88,0.372157,-0.039528,1.5235,-0.4034,-1,0.5,SKIP,neutral,0.5,0.0,DOWN,,0.0,286.0
1774467900,70859.88,70711.98,0.481005,-0.273928,0.4087,-0.415,-2,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,285.0
1774468800,70711.98,70688.71,0.249929,-0.596395,-0.3161,-0.3582,-3,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,284.0
1774469700,70688.71,70920.16,0.442221,-0.141528,-1.0188,-0.812,-4,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,285.0
1774470600,70920.16,70986.57,0.990441,0.953607,-0.3525,-0.2219,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,285.0
1774471500,70986.57,71133.65,0.712384,0.384317,-1.3712,-0.6594,2,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,285.0
1774472400,71133.65,70952.59,0.954854,0.631787,-0.8392,-0.2667,3,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,285.0
1774473300,70952.59,71042.07,0.147609,-0.786294,-1.334,-0.266,-1,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,286.0
1774474200,71042.07,71007.06,0.726574,0.619711,-1.3967,-2.5951,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,286.0
1774475100,71007.06,70968.03,0.439464,-0.26964,-1.934,-2.5019,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,285.0
1774476000,70968.03,71015.09,0.155623,-0.203483,-0.6085,-0.7362,-2,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,286.0
