ts,close,next_close,close_position,body_signed,volume_z,range_z,streak,p_up,side,confidence,stake,actual,result,pnl,equity
1775091900,68157.91,68131.41,0.725649,0.07651,11.0931,6.0943,1,0.392047,DOWN,0.607953,0.0,DOWN,,0.0,213.0
1775092200,68131.41,67586.57,0.172623,-0.069744,2.1384,1.3038,-1,0.15945,DOWN,0.84055,3.0,DOWN,WIN,3.0,216.0
1775092500,67586.57,67520.07,0.229896,-0.755285,3.2614,3.1726,-2,0.130522,DOWN,0.869478,3.0,DOWN,WIN,3.0,219.0
1775092800,67520.07,67583.79,0.480123,-0.111829,3.5003,1.8672,-3,0.507418,UP,0.507418,0.0,UP,,0.0,219.0
1775093100,67583.79,67328.13,0.770361,0.18541,1.6574,0.4918,1,0.813968,UP,0.813968,3.0,DOWN,LOSS,-3.0,216.0
1775093400,67328.13,67330.87,0.316177,-0.662572,0.5798,0.6328,-1,0.190512,DOWN,0.809488,3.0,UP,LOSS,-3.0,213.0
1775093700,67330.87,67164.97,0.42444,0.012578,0.0655,-0.1961,1,0.422518,DOWN,0.577482,0.0,DOWN,,0.0,213.0
1775094000,67164.97,67096.96,0.209511,-0.790489,0.155,-0.2683,-1,0.142411,DOWN,0.857589,3.0,DOWN,WIN,3.0,216.0
1775094300,67096.96,67250.76,0.047444,-0.389697,-0.0694,-0.4595,-2,0.155079,DOWN,0.844921,3.0,UP,LOSS,-3.0,213.0
1775094600,67250.76,67354.17,0.778025,0.542504,-0.3647,0.0326,1,0.778506,UP,0.778506,1.0,UP,WIN,1.0,214.0
1775094900,67354.17,67132.33,0.733749,0.580498,-0.7168,-0.5299,2,0.724628,UP,0.724628,1.0,DOWN,LOSS,-1.0,213.0
1775095200,67132.33,67135.8,0.062067,-0.937933,-0.4859,-0.2637,-1,0.116333,DOWN,0.883667,3.0,UP,LOSS,-3.0,210.0
1775095500,67135.8,66854.89,0.311036,0.013173,0.0709,-0.1745,1,0.335796,DOWN,0.664204,0.0,DOWN,,0.0,210.0
1775095800,66854.89,66936.49,0.044849,-0.846114,0.2224,0.1296,-1,0.079231,DOWN,0.920769,5.0,UP,LOSS,-5.0,205.0
1775096100,66936.49,66918.13,0.591418,0.521839,-0.6769,-0.8762,1,0.651328,UP,0.651328,0.0,DOWN,,0.0,205.0
1775096400,66918.13,66896.16,0.885673,-0.106281,-0.3588,-0.7942,-1,0.747887,UP,0.747887,1.0,DOWN,LOSS,-1.0,204.0
1775096700,66896.16,66978.02,0.473208,-0.207264,-0.9257,-1.1486,-2,0.477972,DOWN,0.522028,0.0,UP,,0.0,204.0
1775097000,66978.02,66905.77,0.578349,0.523134,-0.91,-0.8492,1,0.631591,UP,0.631591,0.0,DOWN,,0.0,204.0
1775097300,66905.77,66702.61,0.487071,-0.435477,-0.8982,-0.7851,-1,0.422753,DOWN,0.577247,0.0,DOWN,,0.0,204.0
1775097600,66702.61,66797.67,0.234588,-0.545235,0.3414,0.2951,-2,0.191636,DOWN,0.808364,3.0,UP,LOSS,-3.0,201.0
